id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49392,Rental unit in Santiago · 1 bedroom · 1 bed,224592,Maria,,Providencia,-33.43277,-70.59892,Private room,47300,3,0,,,1,178,0,
52811,Rental unit in Providencia · ★4.42 · 1 bedroom · 1 bed · 1 bath,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,48193,1,45,2021-11-04,0.28,3,86,0,
513333,Home in Santiago · ★4.86 · 2 bedrooms · 1 bed · 1 private bath,55685236,María José,,Providencia,-33.42932,-70.59085,Private room,15000,1,70,2019-11-03,0.54,1,239,0,
529207,Home in Santiago · 1 bedroom · 7 beds · 6 baths,2294459,Cristian,,Peñalolén,-33.47754,-70.51952,Private room,533814,5,0,,,1,365,0,
53494,Rental unit in Santiago · ★4.76 · 2 bedrooms · 2 baths,249097,Paulina,,Lo Barnechea,-33.34521,-70.29543,Entire home/apt,149999,2,37,2021-05-22,0.41,1,365,0,
533042,Rental unit in Santiago · ★4.56 · 1 bedroom · 2 beds · 1 bath,2619406,Cristian,,Providencia,-33.43037,-70.61789,Entire home/apt,38884,3,170,2023-12-04,1.98,1,156,34,
65058,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,318016,Patricio,,Recoleta,-33.43049,-70.64079,Private room,53548,2,0,,,1,0,0,
533257,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,2620569,Jessica,,Santiago,-33.43673,-70.64871,Private room,53356,2,0,,,1,365,0,
73752,Rental unit in Santiago · 1 bedroom · 1 bed · 3 baths,374124,Daniela&Ricardo,,Santiago,-33.43865,-70.64241,Private room,71397,3,0,,,1,0,0,
558026,Rental unit in Santiago · ★4.95 · 2 bedrooms · 1 bed · 1 bath,2743887,Marcia,,Providencia,-33.43451,-70.62698,Entire home/apt,37895,2,81,2023-12-12,0.76,1,283,44,
80482,Home in Santiago · 1 bedroom · 1 bed · 1 shared bath,154527,Jacqueline,,La Florida,-33.51922,-70.59152,Private room,23619,2,0,,,1,0,0,
559852,Rental unit in Santiago · ★4.25 · 2 bedrooms · 3 beds · 2 baths,2752180,Marcos,,Providencia,-33.42662,-70.6157,Entire home/apt,98171,2,12,2019-07-14,0.12,8,360,0,
88944,"Condo in Providencia, Santiago · ★4.72 · 1 bedroom · 1 bed · 1 bath",485358,Macarena,,Providencia,-33.42141,-70.60832,Entire home/apt,36460,3,204,2023-12-13,1.37,1,155,26,
564038,Rental unit in Santiago · 1 bedroom · 2 beds · 1 bath,2773531,Betty,,Santiago,-33.43835,-70.64545,Entire home/apt,75859,2,1,2013-11-27,0.01,1,0,0,
90694,Rental unit in Santiago · ★4.72 · 1 bedroom · 1 bed · 1 bath,491253,Hector,,Providencia,-33.42629,-70.61866,Entire home/apt,49999,3,71,2023-08-26,0.46,2,358,5,
583154,Rental unit in Santiago · 1 bedroom · 1 bed,2872968,Jaime,,Santiago,-33.45472,-70.63441,Private room,44623,1,0,,,1,0,0,
90769,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,491253,Hector,,Providencia,-33.42864,-70.62178,Entire home/apt,49999,4,11,2013-03-08,0.07,2,363,0,
95139,Home in Santiago · 1 bedroom · 3 beds · 2 baths,506998,Rafael,,Santiago,-33.43657,-70.67851,Private room,63365,7,0,,,1,0,0,
600739,Rental unit in Santiago · ★4.36 · 2 bedrooms · 3 beds · 1 bath,2752180,Marcos,,Providencia,-33.42465,-70.61568,Entire home/apt,98171,2,22,2018-07-18,0.21,8,359,0,
600741,Rental unit in Santiago · ★4.33 · 1 bedroom · 1 bath,2752180,Marcos,,Providencia,-33.42681,-70.61578,Entire home/apt,62472,2,9,2017-02-28,0.09,8,265,0,
96722,Rental unit in Santiago · 1 bedroom · 2 beds · 1 bath,513040,Elby,,Las Condes,-33.4236,-70.58372,Private room,53548,1,0,,,1,0,0,
100057,Rental unit in Santiago · 1 bedroom · 1 bed,526328,Fernando,,Santiago,-33.43297,-70.65815,Private room,71397,14,2,2012-02-13,0.01,1,0,0,
609532,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,3022172,Andrea,,Santiago,-33.43786,-70.6483,Private room,71397,1,0,,,3,0,0,
106795,Rental unit in Santiago · 1 bedroom · 1 bed · 1.5 baths,552381,Nora,,Santiago,-33.43943,-70.65591,Entire home/apt,71397,1,0,,,1,0,0,
622498,Rental unit in Santiago · ★4.92 · 1 bedroom · 2 beds · 1 bath,3085810,Luis Hernan,,Las Condes,-33.41263,-70.58843,Entire home/apt,98171,4,27,2021-03-20,0.20,3,144,0,
643936,Rental unit in Santiago · 1 bedroom · 2 beds · 1 bath,3022172,Andrea,,Santiago,-33.43752,-70.64882,Private room,71397,3,0,,,3,0,0,
643967,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,3022172,Andrea,,Santiago,-33.4361,-70.64711,Private room,71397,1,0,,,3,0,0,
116494,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,588476,Antonio,,Santiago,-33.43814,-70.64508,Private room,53548,1,0,,,1,0,0,
119688,Rental unit in Santiago · 1 bedroom · 3 beds · 2 baths,603746,Marco,,Providencia,-33.42942,-70.60583,Private room,40161,1,0,,,1,0,0,
656930,Home in Santiago · ★4.86 · 1 bedroom · 12 beds · 1 shared bath,619256,Rodrigo,,Providencia,-33.41902,-70.61178,Private room,35000,1,14,2023-11-10,0.45,6,365,5,
122128,Rental unit in Santiago · 1 bedroom · 1 bed,612580,Juan,,Providencia,-33.43971,-70.60398,Private room,66934,1,0,,,1,0,0,
668257,Rental unit in Santiago · ★4.93 · 2 bedrooms · 2 beds · 2 baths,2645138,Maria,,Las Condes,-33.41999,-70.58292,Entire home/apt,107095,14,18,2022-05-28,0.13,1,358,0,
123569,Rental unit in Santiago · 1 bedroom · 1 bed,617378,Carolina,,Santiago,-33.45014,-70.64655,Private room,49085,1,0,,,1,0,0,
124075,Home in Santiago · 1 bedroom · 2 beds · 1 bath,619256,Rodrigo,,Providencia,-33.41736,-70.61304,Private room,35570,2,1,2012-01-19,0.01,6,365,0,
124291,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,619919,Livia,,Las Condes,-33.41891,-70.55632,Private room,53548,5,0,,,1,0,0,
670113,Rental unit in Santiago · ★4.49 · 1 bedroom · 2 beds · 1 bath,264378,Raúl,,Santiago,-33.43649,-70.65707,Entire home/apt,44623,2,248,2020-02-17,1.88,9,0,0,
679753,casa particular in Santiago · 1 bedroom · 1 bed · 1 bath,619256,Rodrigo,,Providencia,-33.41769,-70.61291,Entire home/apt,45000,1,1,2013-04-09,0.01,6,365,0,
131054,Rental unit in Santiago · 1 bedroom,645012,Norman,,Santiago,-33.44294,-70.63366,Private room,35698,1,0,,,1,0,0,
683664,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,3329548,Alojamiento Empresarial Chile,,Santiago,-33.44257,-70.6428,Entire home/apt,52655,90,5,2013-08-14,0.04,4,0,0,
725463,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,3751231,Hernan,,Providencia,-33.42103,-70.60865,Entire home/apt,71397,2,4,2022-10-09,0.05,3,364,0,
132624,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,651711,Administrador,,Santiago,-33.43294,-70.65467,Private room,89880,1,0,,,1,0,0,
726012,Rental unit in Santiago · ★4.60 · 2 bedrooms · 3 beds · 1 bath,3751231,Hernan,,Santiago,-33.44096,-70.64786,Entire home/apt,71141,2,12,2022-11-06,0.09,3,362,0,
734844,Rental unit in Santiago · ★4.64 · 2 bedrooms · 2 beds · 2 shared baths,3832872,Claudia,,Santiago,-33.44687,-70.63254,Private room,19634,5,87,2023-09-28,0.66,1,364,2,
133295,Rental unit in Santiago · ★4.81 · 2 bedrooms · 2 beds · 2 baths,13553614,Felipe,,Las Condes,-33.41154,-70.58899,Entire home/apt,165105,10,80,2023-12-22,0.54,2,365,1,
748389,Rental unit in Santiago · 1 bedroom · 1 bed · 3 baths,3930966,Rodrigo,,Las Condes,-33.42144,-70.57559,Private room,44623,2,0,,,1,365,0,
133783,Rental unit in Santiago · 1 bedroom · 1 bed · 2 baths,656696,María Victoria,,Providencia,-33.42805,-70.60592,Private room,44623,1,0,,,1,0,0,
754744,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,3968799,Lizandra,,Santiago,-33.44608,-70.6534,Entire home/apt,62472,3,0,,,1,0,0,
768868,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,3751231,Hernan,,Santiago,-33.44081,-70.64789,Entire home/apt,44623,2,1,2012-12-19,0.01,3,364,0,
136438,Rental unit in Santiago · ★4.87 · 1 bedroom · 2 beds · 1 bath,667910,Roxana,,Providencia,-33.4223,-70.61064,Entire home/apt,48571,1,107,2023-12-13,0.74,16,0,49,
777178,Rental unit in Santiago · ★4.85 · 1 bedroom · 1 bed · 1 bath,3761736,Rodrigo,,Santiago,-33.44513,-70.63368,Entire home/apt,28628,5,131,2023-12-13,0.97,1,186,17,
780664,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,2873648,Rodrigo,,Ñuñoa,-33.45502,-70.6016,Private room,84784,2,0,,,1,0,0,
136993,Rental unit in Santiago · 1 bedroom · 2 beds · 1 bath,670148,Ursa,,Las Condes,-33.41349,-70.58773,Entire home/apt,52530,1,0,,,1,363,0,
139270,Rental unit in Santiago · 1 bedroom · 1 bed · 0 baths,679343,Mayer Ltda,,Santiago,-33.44931,-70.65418,Private room,107095,1,0,,,1,0,0,
139484,Rental unit in Santiago · ★4.38 · 1 bedroom · 1 bed · 1 bath,678317,Nicolas,,Santiago,-33.43486,-70.64316,Entire home/apt,32000,7,24,2023-12-12,0.24,3,325,5,
787045,Home in Santiago · ★4.80 · 1 bedroom · 1 bed · 1 private bath,4134987,Mirey,,La Reina,-33.45534,-70.5602,Private room,17000,10,132,2023-06-01,0.98,2,363,4,
142622,Bungalow in La Reina · 2 bedrooms · 3 beds · 2 shared baths,639690,Gilda,,La Reina,-33.44324,-70.54792,Private room,60000,3,2,2022-04-16,0.02,1,363,0,
795701,Rental unit in Santiago · ★4.63 · 2 bedrooms · 4 beds · 2 baths,4191304,Doris,,Santiago,-33.43989,-70.65717,Entire home/apt,49085,1,27,2023-12-02,0.20,2,364,4,
144172,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,698776,Elizabeth,,Santiago,-33.44218,-70.64363,Private room,53548,6,0,,,1,0,0,
798444,Rental unit in Santiago · ★4.30 · 2 bedrooms · 5 beds · 1 bath,4204978,Ari,,Santiago,-33.43748,-70.64692,Entire home/apt,40161,4,27,2023-07-16,0.21,8,165,8,
147552,Home in Santiago · ★5.0 · 2 bedrooms · 2 beds · 1 shared bath,712922,Karim,,Lo Barnechea,-33.35887,-70.51342,Shared room,37483,1,5,2018-04-22,0.05,2,0,0,
798907,Rental unit in Santiago · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,1571003,Franek,,Santiago,-33.43924,-70.65712,Entire home/apt,41286,2,325,2023-11-14,2.41,6,357,33,
154395,Rental unit in Las Condes Santiago · ★4.90 · 2 bedrooms · 5 beds · 1.5 baths,716143,Eugenio,,Las Condes,-33.41433,-70.58213,Entire home/apt,50143,5,221,2023-12-24,1.56,1,0,17,
799674,Rental unit in Farellones · ★4.33 · 2 bedrooms · 5 beds · 2 baths,144235,Cristobal,,Lo Barnechea,-33.3494,-70.29346,Entire home/apt,337859,2,6,2023-09-24,0.11,2,362,2,
154615,Rental unit in Santiago · ★4.68 · 1 bedroom · 1 bed · 1 bath,743719,Roberto,,Las Condes,-33.41641,-70.60232,Entire home/apt,40161,2,70,2023-10-29,0.46,3,349,16,
158137,Home in Santiago · 1 bedroom · 1 bed · 0 baths,759002,José,,Ñuñoa,-33.45929,-70.59437,Private room,35698,1,0,,,1,0,0,
811005,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,1693645,María,,Providencia,-33.44089,-70.61246,Private room,20652,30,1,2015-04-30,0.01,2,358,0,
844274,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,3329548,Alojamiento Empresarial Chile,,Santiago,-33.44849,-70.65028,Entire home/apt,52655,90,0,,,4,0,0,
858097,Rental unit in Santiago · ★4.44 · 1 bedroom · 1 bed · 1 bath,743719,Roberto,,Las Condes,-33.41642,-70.60251,Entire home/apt,40017,2,164,2023-12-08,1.25,3,318,31,
160729,Rental unit in Santiago · ★4.65 · 1 bedroom · 2 beds · 1 bath,769822,Ronald,,Santiago,-33.4484,-70.6322,Entire home/apt,23204,150,17,2019-10-03,0.28,1,0,0,
858199,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 private bath,2171434,Ximena,,Ñuñoa,-33.45527,-70.57814,Private room,26774,5,5,2019-12-03,0.06,1,363,0,
879962,Condo in Santiago · ★4.74 · 2 bedrooms · 2 beds · 2 baths,492663,JuanKa,,Santiago,-33.44908,-70.63297,Entire home/apt,42838,3,119,2023-10-16,0.90,1,163,19,
172103,Home in Santiago · 1 bedroom · 1 bed,821265,Ivonne,,Independencia,-33.42278,-70.65861,Private room,24096,1,0,,,1,0,0,
880713,Rental unit in Santiago · ★4.71 · 1 bedroom · 2 beds · 1 bath,667910,Roxana,,Providencia,-33.423,-70.60942,Entire home/apt,55286,1,65,2023-12-19,0.50,16,361,5,
176932,Rental unit in Santiago · 1 bedroom · 1 bed,846125,Patricio,,Recoleta,-33.42349,-70.6376,Private room,35698,1,0,,,1,0,0,
881843,Condo in Santiago · ★4.67 · 1 bedroom · 4 beds · 1 bath,1961985,Eliana,,Santiago,-33.43584,-70.64874,Entire home/apt,35000,2,96,2023-11-27,0.80,1,364,4,
885444,Condo in Santiago · ★4.88 · 2 bedrooms · 2 beds · 2 baths,982805,Alfredo,,Santiago,-33.44990158081055,-70.64158630371094,Entire home/apt,22561,25,8,2023-10-21,0.06,1,358,2,
176943,Rental unit in Santiago · 1 bedroom · 1 bed,846097,Monica Gabriela,,Providencia,-33.42623,-70.61435,Private room,35698,1,0,,,1,0,0,
177729,Rental unit in Santiago · 1 bedroom · 1 bed,851453,Sandra,,Ñuñoa,-33.44791,-70.60169,Private room,31236,3,0,,,1,365,0,
903677,Rental unit in Santiago · ★4.80 · 2 bedrooms · 4 beds · 1 bath,4830840,Magdalena,,Santiago,-33.43824,-70.64184,Entire home/apt,66934,90,6,2014-11-16,0.05,2,364,0,
181005,Condo in Recoleta · ★5.0 · 1 bedroom · 1 bed · 1 private bath,867345,Edwin,,Recoleta,-33.42104,-70.64067,Private room,35698,2,6,2023-09-01,0.06,1,333,3,
